CC,AGENCIA,TIPO,Ene-21
CC_1083 AGENCIA MANCHAY,MANCHAY,MIXTA,6.663289345
CC_1084 AGENCIA CHORRILLOS,CHORRILLOS,MIXTA,7.369843944
CC_1085 AGENCIA SULLANA 2,SULLANA 2,MIXTA,3.860711117
CC_1089 AGENCIA ICA CENTRO 2,ICA CENTRO 2,MIXTA,7.866363759
CC_1090 LA MERCED JUNÍN,D JUNÍN,GRUPAL,16.34145672
CC_1091 AGENCIA HUARAL,HUARAL,GRUPAL,9.018847485
CC_1092 AGENCIA HUACHO,HUACHO,GRUPAL,7.86425431
CC_1093 AGENCIA BARRANCA,BARRANCA,GRUPAL,9.912568835
CC_1094 AGENCIA LURIN,LURIN,MIXTA,7.190307659
CC_1095 AGENCIA JICAMARCA,JICAMARCA,MIXTA,6.707922437
CC_1096 AGENCIA LA ESPERANZA CI,LA ESPERANZA CI,INDIVIDUAL,5.665049017
CC_1097 AGENCIA SANTA ROSA,SANTA ROSA,GRUPAL,6.974236227
CC_1098 AGENCIA JOSE GALVEZ VMT,JOSE GALVEZ VMT,MIXTA,8.250963769
CC_1099 AGENCIA VILLA MARIA DEL TRIUNFO 1,VILLA MARIA DEL TRIUNFO 1,MIXTA,6.648207422
CC_1100 AGENCIA WIESSE,WIESSE,MIXTA,5.615775335
CC_1101 AGENCIA SAN MARTIN DE PORRES 2,SAN MARTIN DE PORRES 2,GRUPAL,12.57528196
CC_1102 AGENCIA MOYOBAMBA,MOYOBAMBA,MIXTA,6.676164889
CC_1103 AGENCIA TARAPOTO,TARAPOTO,MIXTA,4.746686606
CC_1104 AGENCIA IQUITOS,IQUITOS,MIXTA,4.937983475
CC_1105 AGENCIA CHOTA,CHOTA,MIXTA,14.76505951
CC_1106 AGENCIA TINGO MARIA,TINGO MARIA,MIXTA,7.6431465
CC_1107 AGENCIA CAJAMARCA,CAJAMARCA,MIXTA,7.804122151
CC_1108 AGENCIA AYACUCHO,AYACUCHO,MIXTA,8.296137317
CC_1109 AGENCIA JAEN,JAEN,MIXTA,5.671207697
CC_1110 AGENCIA PUCALLPA,PUCALLPA,MIXTA,3.997181424
CC_1111 AGENCIA HUANUCO,HUANUCO,MIXTA,8.109817554
CC_1112 AGENCIA CHEPEN,CHEPEN,MIXTA,6.742646092
CC_1113 AGENCIA SAN JERONIMO CUSCO,SAN JERONIMO CUSCO,MIXTA,9.951045405
